22 Nov 2008,Scotland,41,0,Canada
05 Oct 2003,Benin,0,56,Mali
07 Oct 2006,Bosnia & Herzegovina,7,14,Finland
01 Jul 1938,Netherlands,3,3,Romania
01 Jun 2002,Moldova,0,0,Andorra
29 Sep 2012,South Africa,31,8,Australia
22 Jul 2009,Botswana,39,17,Reunion
19 May 2001,Argentina,32,27,Uruguay
12 Jun 2010,Kenya,11,10,Zimbabwe
22 Nov 2001,Cayman Islands,8,12,Trinidad & Tobago
22 Sep 2007,England,44,22,Samoa
21 Oct 2001,Sweden,32,10,Germany
12 May 2007,Pakistan,0,44,Thailand
05 Dec 1998,England,13,7,South Africa
18 Jun 2011,Russia,25,32,United States
09 Sep 1950,Uruguay,8,6,Brazil
02 Aug 2003,Australia,29,9,South Africa
20 Sep 1997,Trinidad & Tobago,6,35,Chile
10 Apr 2005,Spain,26,26,Croatia
01 Jul 1988,Belgium,27,9,Netherlands
29 Apr 2006,Germany,33,15,Belgium
03 Jul 1982,Zimbabwe,24,25,Romania
15 Nov 2000,Peru,13,54,Venezuela
26 Feb 1887,Scotland,20,0,Wales
20 Oct 1984,South Africa,32,15,South America
24 Feb 1923,Wales,16,8,France
25 May 2002,China,21,29,Chinese Taipei
23 Feb 1907,Scotland,15,3,Ireland
05 Apr 1987,Morocco,7,0,West Germany
12 May 2001,Switzerland,61,23,Hungary
18 May 1996,Bulgaria,9,39,Serbia & Montenegro
21 May 2005,Kenya,37,15,Tunisia
25 May 2011,Argentina,75,14,Uruguay
23 Mar 2003,Paraguay,27,16,Brazil
07 Aug 1999,South Africa,18,34,New Zealand
09 Mar 2003,Russia,17,23,Georgia
01 Jul 1992,Luxembourg,9,19,Denmark
22 May 2010,Estonia,15,22,Finland
29 Apr 1984,Morocco,6,7,Poland
09 May 2008,Arabian Gulf,20,43,Korea
25 Feb 1911,Scotland,10,16,Ireland
20 Apr 2008,Bosnia & Herzegovina,27,19,Israel
18 Aug 1956,New Zealand,17,10,South Africa
18 Nov 2002,Singapore,46,9,Malaysia
20 Oct 2012,Norway,32,3,Finland
01 Nov 1978,Singapore,16,15,Thailand
11 Jun 2005,New Zealand Maori,19,13,Lions
05 May 1984,Sweden,15,13,West Germany
11 Oct 2008,Trinidad & Tobago,8,31,Brazil
05 Oct 1986,Romania,37,9,Tunisia
28 May 2003,Scotland,15,24,Barbarians
12 Oct 1996,Bulgaria,6,14,Moldova
26 Aug 2006,South Africa,26,45,New Zealand
27 Jul 2011,Mali,28,3,Ghana
10 May 1997,Latvia,89,0,Bulgaria
22 Jul 2012,Botswana,23,15,Zambia
15 Jun 1968,Australia,11,27,New Zealand
30 Jul 1896,South Africa,0,8,Lions
06 Dec 1997,England,26,26,New Zealand
03 Jun 1987,England,34,6,United States
03 Mar 2001,Luxembourg,3,62,Israel
29 Oct 1983,Tunisia,23,9,West Germany
17 Jun 2006,Ivory Coast,9,9,Morocco
09 Jun 2012,Australia,27,19,Wales
23 May 1998,Canada,17,15,United States
25 Apr 1998,Serbia & Montenegro,30,6,Israel
02 Jul 1960,Rhodesia,14,29,New Zealand
19 Mar 2011,Belgium,28,25,Germany
14 Dec 1998,Chinese Taipei,27,11,Kazakhstan
13 Aug 2011,Italy,31,24,Japan
17 May 1997,Hong Kong,46,9,United States
27 Jul 1929,Australia,15,13,New Zealand
16 Jun 1999,Tonga,20,16,France
01 Nov 1924,Ireland,0,6,New Zealand
20 Dec 1997,Italy,37,22,Ireland
29 Oct 2010,Libya,5,10,Mauritania
01 Jul 2000,Samoa,41,22,Canada
11 Apr 2009,Denmark,20,18,Norway
21 Nov 2009,Ireland,41,6,Fiji
14 Jul 2001,Australia,29,23,Lions
27 Oct 1984,South Africa,22,13,South America
26 May 1962,Poland,0,17,Czechoslovakia
20 Mar 1965,England,3,3,Scotland
21 Feb 1998,Scotland,16,51,France
04 Aug 1948,Fiji,9,8,New Zealand Maori
08 Mar 2003,Scotland,30,22,Wales
10 Jul 2004,New Zealand,41,26,Pacific Islanders
14 May 1978,Serbia & Montenegro,3,18,Soviet Union
11 Apr 1992,Belgium,17,10,Germany
01 Jun 1985,Samoa,17,18,Fiji
12 Jun 1999,Israel,13,19,Andorra
22 Jul 2009,Zimbabwe,14,8,Mauritius
03 Nov 2001,Czech Republic,26,8,Ukraine
30 Aug 1979,Fiji,86,0,Papua New Guinea
15 Jun 2008,Japan,35,13,Tonga
25 Jun 2008,Mali,3,3,Niger
26 Oct 1996,Russia,37,14,Czech Republic
19 Oct 2002,Croatia,13,0,Slovenia
28 Feb 2003,Thailand,31,24,Kazakhstan
20 May 1989,Czechoslovakia,12,26,Poland
01 Jun 1997,Romania,20,51,France
01 Jul 1945,Netherlands,9,6,Belgium
15 May 1994,Luxembourg,8,17,Switzerland
20 Sep 1958,New Zealand,17,8,Australia
07 Feb 1976,Wales,28,6,Scotland
10 Mar 2012,Wales,24,3,Italy
26 Feb 2006,Ireland,31,5,Wales
16 Dec 1995,England,27,9,Samoa
30 May 1995,Argentina,26,32,Samoa
04 Jun 1955,Samoa,11,18,Fiji
13 Sep 2008,Australia,24,28,New Zealand
16 Feb 1991,England,21,12,Scotland
04 Mar 2001,Russia,23,25,Georgia
15 Sep 2007,Wales,20,32,Australia
03 Sep 2011,Norway,7,18,Sweden
24 May 1960,East Germany,0,5,Romania
31 May 1987,Australia,47,12,United States
31 Oct 1998,Singapore,25,13,Sri Lanka
13 Sep 1951,Chile,3,8,Uruguay
16 Feb 1985,France,11,3,Scotland
03 Jul 1994,New Zealand,20,23,France
13 Nov 2004,Colombia,27,31,Venezuela
10 Dec 1998,Korea,90,3,Sri Lanka
01 Mar 1980,France,19,18,Ireland
03 Nov 1974,Poland,4,3,Czechoslovakia
14 May 1994,Czech Republic,9,38,Netherlands
12 Oct 1991,Scotland,24,15,Ireland
06 Nov 2010,Austria,15,9,Norway
23 Apr 1994,Moldova,42,3,Bulgaria
17 Aug 1996,Scotland,45,48,Barbarians
21 Jan 1989,Ireland,21,26,France
30 Jul 2005,Tahiti,22,47,Cook Islands
26 Oct 1997,Netherlands,49,7,Poland
01 Apr 1967,France,20,14,Wales
27 May 2004,Canada,23,20,United States
13 Jun 1992,Australia,27,12,Scotland
24 Mar 1913,Ireland,24,0,France
20 Feb 1892,Scotland,2,0,Ireland
30 Sep 2005,Brazil,64,0,Colombia
21 Jun 2003,New Zealand,55,3,Wales
10 Jul 1971,New Zealand,22,12,Lions
29 Aug 2004,Madagascar,23,18,Zimbabwe
01 May 1977,Romania,69,0,Italy
26 Nov 2005,France,26,20,South Africa
06 Feb 1971,Scotland,18,19,Wales
10 Oct 1920,France,14,5,United States
14 May 2005,Lithuania,11,51,Netherlands
09 Nov 1968,France,9,12,South Africa
27 Jan 1973,Barbarians,23,11,New Zealand
09 Sep 2007,Wales,42,17,Canada
26 Nov 2011,Czech Republic,6,13,Moldova
13 Aug 1983,New Zealand Maori,52,4,Tonga
26 Nov 2006,Ireland,61,17,Pacific Islanders
13 May 2006,Portugal,52,14,Ukraine
13 Jul 1996,Samoa,30,15,Tonga
29 Oct 1972,Czechoslovakia,47,3,West Germany
31 May 2012,Iran,17,37,Thailand
27 Mar 2010,Romania,48,3,Spain
28 Nov 1998,England,11,12,Australia
07 May 1994,Italy,62,15,Spain
24 Oct 1998,Hong Kong,12,30,Chinese Taipei
02 Oct 2005,Colombia,24,7,Venezuela
21 Mar 1953,England,26,8,Scotland
09 Feb 1924,Ireland,3,14,England
10 Mar 1973,Wales,16,12,Ireland
11 Jun 2005,Jamaica,5,3,Bahamas
19 Aug 1964,Brazil,5,30,Argentina
27 Aug 2005,New Zealand,31,27,South Africa
29 Jul 2005,Vanuatu,12,20,Solomon Islands
01 Nov 2003,South Africa,60,10,Samoa
02 Jul 1977,Argentina,18,18,France
27 Aug 1938,Fiji,3,6,New Zealand Maori
18 Apr 2003,Sri Lanka,25,48,Arabian Gulf
01 Oct 2011,France,14,19,Tonga
30 Jul 2011,Chad,13,0,Togo
05 Feb 1972,Wales,35,12,Scotland
01 Jul 1992,Chinese Taipei,17,59,Korea
28 Jul 2001,South Africa,20,15,Australia
26 Aug 1995,Chile,28,23,Spain
09 Dec 1978,Scotland,9,18,New Zealand
17 Aug 1968,Fiji,6,8,Tonga
25 Jun 1983,West Germany,9,37,Soviet Union
25 Oct 1987,Romania,18,10,Soviet Union
19 Mar 2005,Romania,97,0,Ukraine
01 Jul 1990,Fiji,17,30,Samoa
13 May 2000,Latvia,40,10,Belgium
01 Jul 1947,Belgium,9,6,Netherlands
09 Jul 2005,New Zealand,38,19,Lions
15 Aug 1971,Sweden,9,9,Czechoslovakia
01 Jul 1995,Luxembourg,12,16,Croatia
29 Nov 1997,New Zealand,42,7,Wales
28 Oct 2006,Georgia,37,23,Spain
23 Oct 2004,Croatia,27,6,Slovenia
26 Jun 1999,Samoa,27,20,United States
24 Jul 2010,Mali,17,8,Ghana
07 May 2005,Morocco,29,3,Kenya
13 Apr 1986,Netherlands,9,6,Czechoslovakia
14 Nov 2009,Italy,6,20,New Zealand
20 Feb 1993,Scotland,20,0,Wales
23 Feb 1929,Wales,8,3,France
02 Sep 1995,South Africa,40,11,Wales
11 Jul 2009,Burkina Faso,17,7,Nigeria
12 Mar 2011,Wales,19,13,Ireland
28 May 1994,Spain,35,19,Portugal
20 Sep 1924,South Africa,16,9,Lions
29 Aug 2003,Cook Islands,56,18,Tahiti
11 Nov 1962,Romania,3,0,France
05 Jul 2008,New Zealand,19,8,South Africa
02 Jun 2001,Papua New Guinea,32,10,Solomon Islands
14 Aug 1999,South Africa,10,9,Australia
17 Mar 2007,Czech Republic,13,46,Romania
24 May 2008,Finland,11,10,Luxembourg
20 Oct 2001,Ireland,20,14,England
08 Jun 2012,Argentina,41,9,Portugal
08 Apr 1989,Belgium,15,15,Portugal
20 Sep 1975,Brazil,10,31,Chile
14 May 1992,Netherlands,12,17,Poland
17 May 2008,Korea,40,21,Kazakhstan
02 Jun 1989,Italy,33,19,Spain
06 Jul 2002,Fiji,47,20,Tonga
05 Apr 1952,France,3,6,England
16 Nov 1968,France,11,16,South Africa
20 Dec 1969,England,11,8,South Africa
08 Apr 1990,Japan,28,16,Tonga
21 Mar 1931,Scotland,28,19,England
16 Sep 1951,Brazil,10,17,Uruguay
06 Feb 1999,Ireland,9,10,France
17 Oct 1976,Poland,8,38,Romania
21 Feb 1981,Wales,9,8,Ireland
11 Jun 2005,Australia,74,7,Samoa
22 Aug 1998,United States,21,16,Uruguay
02 Jul 1949,Belgium,15,5,Netherlands
20 Oct 1991,Ireland,18,19,Australia
21 Jul 1962,South Africa,3,0,Lions
23 May 1981,Brazil,3,35,Paraguay
29 Apr 2007,Japan,73,3,Hong Kong
30 Mar 2003,Georgia,6,19,Romania
11 Oct 2003,France,61,18,Fiji
19 Apr 1947,England,6,3,France
29 Apr 2000,Sweden,91,0,Norway
26 Jun 2008,Brazil,59,0,Peru
20 Jun 1998,United States,17,27,Hong Kong
10 Sep 2005,Papua New Guinea,20,11,Cook Islands
19 Jun 2010,Argentina,9,13,Scotland
13 Feb 2010,Romania,67,5,Germany
17 Oct 2009,Austria,15,13,Slovenia
