player,team,from,to,played,start,sub,pts,tries,conv,pens,drop,gfm,won,lost,draw
AP Ashley-Cooper,Aust,2005,2012,73,67,6,110,22,0,0,0,0,43,28
WDC Carling,Eng/Lions,1988,1997,73,73,0,54,12,0,0,0,0,53,19
JC Guscott,Eng/Lions,1989,1999,73,70,3,150,31,0,0,3,0,56,17
Y Jauzion,Fra,2001,2011,73,65,8,103,20,0,0,1,0,46,26
FE Mendez Azpillaga,Arg,1990,2004,73,67,6,70,14,0,0,0,0,33,40
MA Nonu,NZ,2003,2012,73,58,15,120,24,0,0,0,0,63,9
L Pissarra,Port,1996,2007,73,58,15,0,0,0,0,0,0,37,34
SD Shaw,Eng/Lions,1996,2011,73,46,27,10,2,0,0,0,0,44,29
AK Hore,NZ,2002,2012,72,38,34,35,7,0,0,0,0,59,11
DG Humphreys,Ire,1996,2005,72,44,28,560,6,88,110,8,0,37,34
MP Lynagh,Aust,1984,1995,72,71,1,911,17,140,177,9,0,51,20
ST Moore,Aust,2005,2012,72,52,20,25,5,0,0,0,0,42,29
JA Paul,Aust,1998,2006,72,34,38,70,14,0,0,0,0,51,21
WM Phillips,Lions/Wales,2003,2012,72,52,20,45,9,0,0,0,0,34,36
NA Back,Eng/Lions,1994,2005,71,67,4,88,17,0,0,1,0,53,17
G Brezoianu,Rom,1996,2007,71,67,4,142,28,1,0,0,0,36,35
O Brouzet,Fra,1994,2003,71,57,14,10,2,0,0,0,0,46,24
CPJ Califano,Fra,1994,2007,71,61,10,30,6,0,0,0,0,41,30
ME Corry,Eng/Lions,1997,2007,71,47,24,30,6,0,0,0,0,40,30
GW D'Arcy,Ire/Lions,1999,2012,71,62,9,35,7,0,0,0,0,44,24
SB Grimes,Scot,1997,2005,71,52,19,25,5,0,0,0,0,27,43
NT Little,Fiji,1996,2011,71,60,11,670,2,117,140,2,0,37,34
A Pichot,Arg,1995,2007,71,69,2,60,12,0,0,0,0,34,36
JL Sadourny,Fra,1991,2001,71,66,5,86,15,0,0,4,0,46,24
AC Stoica,Italy,1997,2007,71,70,1,55,11,0,0,0,0,21,49
AW Jones,Lions/Wales,2006,2012,70,61,9,35,7,0,0,0,0,30,40
RP Jones,Lions/Wales,2004,2012,70,57,13,10,2,0,0,0,0,34,34
KM Logan,Scot,1992,2003,70,63,7,220,13,34,29,0,0,27,40
KM Maggs,Ire,1997,2005,70,59,11,75,15,0,0,0,0,39,30
A Masi,Italy,1999,2012,70,61,9,65,13,0,0,0,0,20,50
AP Mehrtens,NZ,1995,2004,70,62,8,967,7,169,188,10,0,49,19
TGL Shanklin,Wales,2001,2010,70,56,14,100,20,0,0,0,0,32,36
AKE Baxter,Aust,2003,2009,69,45,24,5,1,0,0,0,0,40,28
R Bertranne,Fra,1971,1981,69,69,0,66,17,0,0,0,0,38,25
M Cuttitta,Italy,1990,2000,69,66,3,29,6,0,0,0,0,32,36
P de Villiers,Fra,1999,2007,69,53,16,10,2,0,0,0,0,45,22
C Dinu,Rom,1965,1983,69,69,0,0,0,0,0,0,0,46,19
J Fourie,SA,2003,2011,69,56,13,160,32,0,0,0,0,49,20
SP Horgan,Ire/Lions,2000,2009,69,62,7,105,21,0,0,0,0,40,27
BC Moore,Eng/Lions,1987,1995,69,68,1,4,1,0,0,0,0,48,20
F Murariu,Rom,1976,1989,69,68,1,32,8,0,0,0,0,45,22
PG Saint-Andre,Fra,1990,1997,69,68,1,152,32,0,0,0,0,46,22
JH Smith,SA,2003,2010,69,64,5,60,12,0,0,0,0,48,21
M Urjukashvili,Georg,1997,2011,69,65,4,313,17,45,45,1,0,40,29
SWP Burger,SA,2003,2011,68,59,9,65,13,0,0,0,0,45,22
G Dumitru,Rom,1973,1987,68,67,1,12,3,0,0,0,0,42,24
A Khrokhin,Russ,2002,2011,68,43,25,35,7,0,0,0,0,32,34
SF Lamont,Scot,2004,2012,68,65,3,40,8,0,0,0,0,29,38
