date,home_team,away_team,home_tries,home_penalties,home_conversions,home_drop_goals,away_tries,away_penalties,away_conversions,away_drop_goals
2011-05-21,Western Force,Brumbies,1,2,1,0,1,2,1,0
2011-05-21,Cheetahs,Rebels,5,2,3,0,3,0,3,0
2011-05-21,Sharks,Bulls,2,3,2,0,2,5,2,1
2011-05-27,Hurricanes,Western Force,4,2,4,0,3,3,2,0
2011-05-28,Highlanders,Lions,1,5,1,0,2,4,2,0
2011-05-28,Brumbies,Stormers,0,1,0,0,1,3,1,0
2011-05-28,Sharks,Waratahs,2,4,2,0,2,3,1,0
2011-05-29,Bulls,Cheetahs,4,2,3,0,3,0,2,0
2011-05-29,Reds,Crusaders,2,1,1,0,1,3,1,0
2011-06-03,Highlanders,Western Force,1,3,0,0,2,3,1,0
2011-06-03,Rebels,Stormers,0,1,0,0,5,3,3,0
2011-06-04,Bulls,Waratahs,2,3,2,0,1,4,24,0
2011-06-04,Hurricanes,Lions,4,4,3,0,3,2,3,0
2011-06-04,Blues,Chiefs,1,2,0,0,1,3,1,0
2011-06-04,Reds,Brumbies,1,3,0,0,1,5,1,0
2011-06-04,Cheetahs,Sharks,2,2,1,0,2,3,2,0
2011-06-10,Chiefs,Hurricanes,2,2,1,0,2,2,1,0
2011-06-10,Brumbies,Rebels,5,1,2,0,2,1,2,0
2011-06-11,Crusaders,Blues,3,2,1,0,2,2,0,0
2011-06-11,Waratahs,Highlanders,5,0,4,0,1,0,1,0
2011-06-11,Force,Reds,3,2,0,0,3,1,3,0
2011-06-11,Lions,Sharks,3,3,3,0,3,3,3,0
2011-06-11,Stormers,Bulls,1,3,1,0,1,4,1,0
2011-06-17,Blues,Highlanders,3,4,3,0,2,1,0,1
2011-06-17,Rebels,Force,2,4,1,0,2,5,1,0
2011-06-18,Chiefs,Reds,1,2,0,0,1,4,1,0
2011-06-18,Crusaders,Hurricanes,1,2,1,1,0,3,0,0
2011-06-18,Waratahs,Brumbies,5,2,5,0,1,0,1,0
2011-06-18,Bulls,Sharks,2,3,2,0,2,3,2,1
2011-06-18,Cheetahs,Stormers,4,2,4,0,4,6,3,0
2011-06-24,Blues,Waratahs,2,4,2,0,2,1,0,0
