date,home_team,away_team,home_tries,home_penalties,home_conversions,home_drop_goals,away_tries,away_penalties,away_conversions,away_drop_goals
2008-06-11,Ireland 'A',United States,7,1,4,0,0,3,0,0
2008-10-25,Croatia,Malta,2,2,1,0,1,3,1,0
2008-03-08,Wales,Ireland,1,3,1,0,0,4,0,0
2008-09-13,Slovenia,Hungary,5,1,2,0,4,0,3,0
2008-11-22,England,South Africa,0,2,0,0,5,3,4,0
2008-02-23,Georgia,Portugal,1,1,0,1,0,2,0,0
2008-08-02,Uganda,Madagascar,4,3,2,0,2,4,0,0
2008-05-24,Bulgaria,Austria,2,2,0,0,0,0,0,0
2008-06-28,Italy,Argentina,1,2,1,0,0,4,0,0
2008-06-07,Tanzania,Kenya 'A',1,3,1,0,2,1,1,0
2008-10-18,Armenia,Switzerland,4,2,3,1,2,1,1,0
2008-04-26,Austria,Norway,0,1,0,0,0,1,0,0
2008-06-28,Samoa,Tonga,2,2,2,0,0,5,0,0
2008-02-23,Wales,Italy,5,4,5,0,1,1,0,0
2008-03-15,Wales,France,2,5,2,0,0,4,0,0
2008-11-22,Czech  Republic,Moldova,1,2,0,0,0,3,0,0
2008-11-08,Welsh Clubs  Xv,Germany,4,1,2,0,1,3,0,0
2008-07-12,Kenya,Cameroun,9,0,9,1,0,0,0,0
2008-08-16,New Zealand,South Africa,3,0,2,0,0,0,0,0
2008-06-07,South Africa,Wales,4,5,4,0,2,1,2,0
2008-04-12,Georgia,Russia,2,2,1,0,0,4,0,0
2008-11-08,Australia,Italy,2,6,1,0,1,4,0,1
2008-04-19,Croatia,Andorra,2,1,1,0,2,0,0,0
2008-02-03,France,Scotland,3,1,3,0,0,1,0,1
2008-06-07,Argentina,Scotland,2,4,1,0,0,5,0,0
2008-08-02,New Zealand,Australia,4,5,2,0,1,1,1,0
2008-06-14,South Africa,Wales,4,3,4,0,2,3,1,0
2008-06-11,Italy 'A',Russia,5,3,2,0,2,1,1,0
2008-06-28,New Zealand  Maori,Japan,9,1,6,0,3,2,1,0
2008-11-29,England,New Zealand,0,2,0,0,0,5,1,0
2008-05-10,Spain,Portugal,3,0,3,0,2,1,2,0
2008-11-15,England,Australia,1,2,0,1,1,7,1,0
2008-06-14,New Zealand,England,4,3,4,0,2,2,2,0
2008-05-03,Hong Kong,Kazakhstan,3,2,1,0,2,1,2,0
2008-11-22,Australia,France,2,2,1,0,1,1,1,1
2008-05-24,Finland,Luxembourg,1,2,0,0,1,1,1,0
2008-11-14,Wales,Canada,5,1,3,0,1,2,1,0
2008-05-24,Uganda,Kenya,2,2,2,0,0,1,0,0
2008-01-06,Hong Kong,China-Taipei,9,0,7,0,2,1,2,0
2008-10-11,Greece,Finland,2,0,1,0,1,1,1,0
2008-08-16,Kenya,Uganda,4,4,2,1,3,1,1,0
2008-11-08,Ireland,Canada,8,1,6,0,0,0,0,0
2008-04-05,Hong Kong,Tunisia,1,6,1,0,2,0,1,0
2008-04-19,Germany,Ukraine,1,1,1,1,1,0,0,0
2008-08-30,South Africa,Australia,8,1,5,0,1,1,0,0
2008-09-13,Armenia,Serbia,5,2,2,2,0,0,0,0
2008-11-08,Argentina,Chile,6,0,8,0,0,1,0,0
2008-12-06,Serbia,Andorra,4,2,3,0,1,0,1,0
2008-07-26,Australia,New Zealand,4,1,4,1,3,0,2,0
2008-04-19,Russia,Czech Republic,5,2,4,0,0,1,0,0
2008-02-10,England,Italy,2,3,2,0,1,4,1,0
2008-08-23,Australia,South Africa,3,2,3,0,2,1,1,0
2008-02-02,Georgia,Portugal,4,0,3,0,0,1,0,0
2008-04-26,Hong Kong,Arabian Gulf,2,2,2,0,0,2,0,2
2008-11-15,New Zealand,Ireland,3,1,2,0,0,1,0,0
2008-11-01,Canada,Portugal,2,3,1,0,1,2,1,0
2008-04-26,Sweden,Serbia,3,1,2,0,0,1,0,0
2008-09-05,France  Amateur,Russia,3,4,1,0,4,0,4,0
2008-05-24,Serbia,Armenia,3,0,2,0,1,1,0,0
2008-11-29,Wales,Australia,2,2,1,1,2,1,1,1
2008-03-29,Georgia,Czech Republic,3,1,2,0,0,1,0,0
2008-06-07,Scotland 'A',Canada,4,0,3,0,1,1,1,0
2008-06-08,Australia  'A',Japan,6,0,0,0,2,2,1,1
2008-02-09,Georgia,Romania,1,4,1,1,1,0,1,0
2008-06-28,Australia,France,4,2,4,0,1,2,1,0
2008-11-08,Russia,Spain,4,3,3,0,2,1,1,0
2008-08-09,South Africa,Argentina,7,0,9,0,0,3,0,0
2008-02-09,Wales,Scotland,3,3,3,0,0,5,0,0
2008-04-19,Slovenia,Luxembourg,1,1,1,0,0,1,0,0
2008-07-05,Australia,France,4,4,4,0,1,1,1,0
2008-06-07,Fiji,Samoa,5,1,3,0,3,0,1,0
2008-11-15,France,Pacific Islanders,5,3,4,0,1,4,0,0
2008-06-22,Fiji,Japan,3,1,3,0,0,4,0,0
2008-11-22,New Zealand,Wales,2,5,2,0,0,3,0,0
2008-11-15,Argentina,Italy,1,5,1,0,1,3,0,0
2008-01-09,Hong Kong,China-Taipei,8,0,6,0,4,1,2,0
2008-04-26,Japan,Korea,7,0,2,0,2,1,2,0
2008-11-08,England,Pacific Islanders,5,2,4,0,1,2,1,0
2008-05-31,Israel,Finland,3,1,2,0,2,0,1,0
2008-11-15,Poland,Czech Republic,1,2,1,0,1,0,1,0
2008-06-15,Romania,Russia,1,2,1,0,0,4,0,0
2008-06-11,Romania,Uruguay,1,1,1,0,0,2,0,0
2008-11-01,Slovenia,Denmark,3,2,2,0,3,0,2,0
2008-07-05,Samoa,Japan,5,2,3,0,4,1,4,0
2008-11-15,Israel,Bulgaria,1,2,0,0,1,1,0,0
2008-04-20,Bosnia-Herzegovina,Israel,4,1,2,0,3,0,2,0
2008-11-15,South Africa,Scotland,1,3,0,0,1,1,1,0
2008-05-17,Finland,Bosnia Herzegovina,0,1,0,0,0,1,0,0
2008-11-22,Scotland,Canada,6,1,4,0,0,0,0,0
2008-08-30,Niue,New Caledonia,5,1,0,0,1,0,0,0
2008-06-14,Australia,Ireland,2,2,1,0,2,0,1,0
2008-02-23,Romania,Spain,3,0,1,0,1,2,0,0
2008-11-16,Moldova,Belgium,3,1,1,0,1,1,0,0
2008-05-03,Japan,Arabian Gulf,10,0,12,0,0,2,0,0
2008-10-18,Brazil,Trinidad And Tobago,4,0,2,0,0,0,0,0
2008-04-05,Switzerland,Denmark,3,3,2,0,1,2,1,0
2008-02-02,Wales,England,2,4,2,0,1,3,1,1
2008-11-01,New Zealand,Australia,2,3,0,0,2,2,0,0
2008-06-15,Georgia,Uruguay,2,2,2,0,0,6,0,0
2008-02-02,Ireland,Italy,1,3,1,0,1,2,0,0
2008-07-12,South Africa,New Zealand,2,5,1,1,1,6,1,1
2008-06-07,New Zealand,Ireland,2,3,1,0,1,2,0,0
2008-11-08,Netherlands,Latvia,4,1,3,0,2,0,0,0
2008-04-26,Georgia,Spain,4,0,1,0,2,2,2,0
2008-11-08,France,Argentina,0,3,0,1,0,2,0,0
2008-07-19,Australia,South Africa,2,1,0,1,0,3,0,0
2008-04-12,Belgium,Moldova,1,4,1,1,3,0,2,0
2008-02-23,Ireland,Scotland,5,1,3,0,1,2,1,0
2008-03-08,Scotland,England,0,5,0,0,0,3,0,0
2008-09-03,New Zealand,Samoa,9,0,13,0,2,0,2,0
2008-11-22,Japan,United States,4,2,3,0,3,0,1,0
2008-06-14,Scotland,Argentina,2,4,2,0,2,0,2,0
2008-03-15,Italy,Scotland,2,2,2,1,2,2,2,0
2008-11-15,Spain,Germany,1,4,1,1,1,2,0,0
2008-06-07,England  Saxons,United States,8,1,8,0,1,1,1,0
2008-05-31,Argentina,Uruguay,7,0,4,0,1,1,0,0
2008-06-21,New Zealand,England,5,3,5,0,2,0,1,0
2008-03-09,France,Italy,3,2,2,0,1,2,1,0
2008-10-18,Hungary,Denmark,6,1,3,0,2,0,1,0
2008-08-16,New  Caledonia,Vanuatu,5,0,2,0,4,0,0,0
2008-06-14,New Zealand Maori,Fiji,1,2,0,0,1,0,1,0
2008-10-25,Sweden,Latvia,3,2,0,0,1,0,0,0
2008-11-29,Bulgaria,Luxembourg,2,2,1,0,1,1,1,0
2008-07-12,Madagascar,Botswana,4,4,4,0,2,1,1,0
2008-05-10,Japan,Kazakhstan,8,0,11,0,0,2,0,0
2008-11-08,Lithuania,Andorra,4,0,3,0,2,0,0,0
2008-11-01,Belgium,Ukraine,0,3,0,0,1,1,0,0
2008-02-23,England,France,2,3,1,1,1,2,1,0
2008-08-02,Tunisia,Kenya,6,2,4,0,2,1,1,0
2008-11-22,Ireland,Argentina,1,3,0,1,0,1,0,0
2009-02-07,Georgia,Germany,5,0,4,0,1,0,0,0
2009-03-14,Wales,Italy,2,2,2,0,0,5,0,0
2009-02-07,Romania,Spain,2,3,0,0,1,1,1,0
2009-05-02,Kazakhstan,Korea,3,3,3,0,6,2,5,2
2009-02-21,Portugal,Germany,5,3,5,0,0,2,0,0
2009-12-12,Germany,Hong Kong,3,3,0,0,1,3,0,0
2009-02-15,Ireland,Italy,5,1,5,0,0,3,0,0
2009-10-24,Serbia,Switzerland,1,2,1,0,1,1,0,0
2009-01-31,Monaco,Azerbaijan,6,0,4,0,2,0,1,0
2009-04-25,Bulgaria,Finland,5,0,2,0,2,0,0,0
2009-04-25,Slovenia,Norway,2,0,2,0,1,0,1,1
2009-06-13,France,New Zealand,3,2,3,0,2,4,0,0
2009-11-22,Switzerland,Armenia,2,2,1,0,0,0,0,0
2009-11-13,Italy 'A',Romania,4,3,2,0,0,2,0,0
2009-03-15,England,France,5,1,3,0,2,0,0,0
2009-04-18,Netherlands,Sweden,5,1,4,0,4,0,2,0
2009-11-07,Malta,Sweden,4,1,1,0,3,2,1,0
2009-04-04,Serbia,Switzerland,2,0,1,0,0,1,0,1
2009-11-07,Netherlands,Latvia,7,1,7,0,0,0,0,1
2009-05-23,Ireland,Canada,3,2,2,0,0,2,0,0
2009-03-14,Czech  Republic,Belgium,0,5,0,0,2,1,1,0
2009-11-14,Norway,Austria,0,4,0,0,0,3,0,0
2009-04-18,Hungary,Austria,4,1,1,0,1,2,1,0
2009-10-17,Austria,Slovenia,2,1,1,0,1,2,1,0
2009-03-21,France,Italy,7,3,3,0,1,1,0,0
2009-03-15,Portugal,Spain,2,4,1,0,1,3,1,1
2009-08-15,Kenya,Uganda,5,1,1,0,3,0,2,0
2009-05-30,Poland,Belgium,1,3,0,0,0,1,0,0
2009-06-21,Russia,Uruguay,4,1,3,0,2,3,2,1
2009-05-09,Kazakhstan,Singapore,3,1,2,0,1,4,1,0
2009-03-14,Switzerland,Andorra,3,6,1,0,0,3,0,0
2009-05-02,Lithuania,Serbia,5,1,6,0,0,3,0,0
2009-02-14,Wales,England,1,6,0,0,2,1,1,0
2009-03-21,Ukraine,Czech Republic,3,1,1,0,2,0,0,0
2009-11-07,Bosnia  Herzegovina,Azerbaijan,1,3,1,0,1,0,0,0
2009-10-10,Ukraine,Belgium,1,2,1,0,1,1,0,1
2009-04-18,Malta,Latvia,4,2,3,0,3,0,2,0
2009-05-09,Israel,Slovenia,2,4,2,0,1,4,1,0
2009-05-16,Japan,Korea,11,0,10,0,0,3,0,2
2009-11-07,Namibia,Portugal,0,4,0,0,0,3,0,0
2009-05-09,Ukraine,Moldova,4,2,3,0,0,0,0,0
2009-02-28,Russia,Romania,3,3,2,0,3,0,1,0
2009-06-13,New Zealand,France,1,3,0,0,1,1,1,0
2009-11-14,Cyprus,Monaco,6,2,4,0,1,0,0,0
2009-06-16,Scotland 'A',Uruguay,3,2,3,0,0,0,0,1
2009-06-16,France 'A',Romania,2,2,3,0,1,3,1,0
2009-10-24,Bulgaria,Luxembourg,3,2,2,0,0,0,0,0
2009-11-20,Italy 'A',Georgia,1,1,0,0,1,0,1,0
2009-02-27,France,Wales,2,3,1,0,1,3,1,0
2009-02-28,Georgia,Spain,5,1,6,0,1,2,0,0
2009-02-08,Wales,Scotland,4,2,0,0,1,2,1,0
2009-04-25,Denmark,Austria,4,1,2,0,0,2,0,0
2009-10-31,Netherlands,Sweden,2,2,0,1,1,3,1,0
2009-05-16,Poland,Moldova,5,1,1,0,4,2,1,0
2009-10-17,Norway,Denmark,0,5,0,0,1,1,0,0
2009-04-11,Greece,Bulgaria,6,1,4,0,1,2,1,0
2009-02-07,England,Italy,5,1,4,0,1,2,0,0
2009-10-10,Lithuania,Andorra,7,1,1,0,2,0,1,0
2009-06-14,Ireland 'A',Georgia,6,2,2,0,1,0,0,0
2009-04-11,Denmark,Norway,4,0,0,0,0,5,0,1
2009-05-02,Japan,Hong Kong,6,0,7,0,0,2,0,0
2009-02-28,Scotland,Italy,2,4,2,0,0,1,0,1
2009-03-21,England,Scotland,3,2,1,1,0,4,0,0
2009-05-08,Argentina  'A',Namibia,7,1,7,0,1,0,1,0
2009-03-22,Georgia,Russia,4,0,2,0,2,3,1,0
2009-11-14,Georgia,Argentina 'A',2,4,1,0,1,4,1,1
2009-05-23,Argentina 'A',Uruguay,3,1,1,0,0,3,0,0
